i'm just curious	je suis juste curieuse
they're keeping it under wraps	ils le gardent secret
tom left the building	tom a quitte le batiment
she loves cooking	elle adore cuisiner
the fugitive crossed the river	le fugitif traversa la riviere
i wanted to marry him	je voulais l'epouser
he looks kind of pale	il a l'air palot
sign here	signez ici
i'd be delighted	je serais ravi
it's nearly impossible	c'est pratiquement impossible
i find you irresistible	je vous trouve irresistible
i'm a bit tired	je suis un peu fatigue
did you sign ?	as tu signe ?
i like irish music	j'aime la musique irlandaise
they look bored	elles ont l'air de s'ennuyer
tom died at home	tom est mort chez lui
i'm still married	je suis encore mariee
i was humiliated	on m'a humilie
i was eventually released	j'ai finalement ete relachee
what do you do ?	que fais tu ?
she likes to read books	elle aime lire des livres
tom and mary are asleep	tom et mary sont couches
they're just students	ce sont juste des etudiants
is he looking ?	regarde t il ?
i'll be ready	je serai pret
the boys are thirsty	les garcons ont soif
the chance is gone	on a laisse passer l'occasion
do you like surprises ?	aimez vous les surprises ?
thanks a bunch	merci bien
he became a pianist	il est devenu pianiste
experience is important	l'experience est importante
i read your report	j'ai lu votre rapport
that won't work !	ca ne va pas !
i bought the book yesterday	j'ai achete le livre hier
that a boy !	t'es un bon garcon !
i really love my work	j'adore vraiment mon travail
you're no fun	vous n'etes pas drole
i'll accept suggestions	j'accepterai les suggestions
the river is deep here	la riviere est profonde ici
i don't know really	je ne sais vraiment pas
my daughter was premature	ma fille etait prematuree
it's the law now	c'est desormais la loi
you're incredibly talented	vous etes incroyablement talentueuse
i accept your conditions	j'accepte tes conditions
fire is always dangerous	le feu sera toujours dangereux
what is it about ?	de quoi s'agit il ?
it snowed	il a neige
his data is often inaccurate	ses donnees sont souvent inexactes
you can't help yourself	c'est plus fort que toi
thank you for your patience	merci pour votre patience
did you see that ?	avez vous vu ca ?
you're wanted on the telephone	on vous demande au telephone
either is acceptable	n'importe lequel est acceptable
she lives in new york	elle vit a new york
i have seen her before	je l'ai deja vue
that was a nice speech	c'etait un chouette discours
i own this car	je possede cette voiture
he speaks broken french	il ecorche le francais
the sand was warm	le sable etait chaud
he lives in morocco	il habite au maroc
the cake is delicious	le gateau est delicieux
both teams are unbeaten	les deux equipes sont invaincues
it is threatening to rain	il menace de pleuvoir
i'm living my dream	je vis mon reve
leaves fall in the autumn	les feuilles tombent en automne
she was fully clothed	elle etait entierement vetue
i sleep in my room	je dors dans ma chambre
i'm buying a puppy	j'achete un chiot
leave that to me	laissez moi ca !
i require your advice	je requiers vos conseils
it's all wet	tout est mouille
it was truly a miracle	c'etait un vrai miracle
what's your name ?	comment vous appelez vous ?
i love you guys	les mecs je vous adore
it went off smoothly	ca s'est deroule sans probleme
listen to this !	ecoutez ca !
that scenario is unlikely	ce scenario est improbable
he acted without thinking	il a agi sans reflechir
whatever you say	comme vous voulez
i followed you	je t'ai suivie
excess of politeness is annoying	l'exces de politesse est ennuyeux
we want more money	nous voulons davantage d'argent
push the door open	enfoncez la porte !
leave me a message please	veuillez me laisser un message
the medicine made me sleepy	le medicament m'a donne sommeil
tom overslept	tom s'est reveille trop tard
he has to speak english	il doit parler anglais
i should be there	je devrais y etre
i'll do that for tom	je ferai cela pour tom
i think you're nuts	je pense que t'es dingue
i hate myself	je me deteste
what are you writing ?	qu'ecris tu ?
drive carefully	conduis avec prudence
have a cookie	prends un biscuit !
i can recommend this restaurant	je peux recommander ce restaurant
i'm from brazil	je suis originaire du bresil
they handled it well	elles s'y sont bien prises
he is poor at chemistry	il est faible en chimie
he had already gone	il etait deja parti
look in the mirror	regarde dans le miroir
he wanted to meet you	il voulut te rencontrer
you're going too fast	vous allez trop vite
call me right back	rappelez moi de suite !
your guess is wrong	votre hypothese est erronee
she liked talking about herself	elle aimait parler d'elle meme
she wished to be beautiful	elle souhaitait etre belle
let's compromise	faisons un compromis
don't even think about it	n'y pensez meme pas !
i did have fun	je me suis amuse
you've worked hard	vous avez travaille d'arrache pied
they've missed the boat	ils ont loupe le coche
i'm expecting a customer today	j'attends un client aujourd'hui
i must leave early tomorrow	je dois partir tot demain
i'm sick of this	j'en ai ras le bol
i love cooking	j'adore cuisiner
enjoy yourself for a change	fais toi plaisir pour changer
would he like that ?	l'apprecierait il ?
we all did well	nous avons tous bien reussi
i'm volunteering	je fais du benevolat
we're starved	nous sommes affamees
they're all here	elles sont toutes la
the prophecy came true	la prophetie s'est averee
i've done this before	j'ai fait ca auparavant
what a woman !	quelle femme !
are you insured ?	es tu assure ?
i think we're neighbors	je pense qu'on est voisins
nothing's gonna change my world	rien ne changera mon monde
tom isn't very ambitious	tom n'est pas tres ambitieux
tom never comes	tom ne vient jamais
it's starting to snow	il se met a neiger
you nearly died	vous etes presque mort
we're nearly finished	nous en avons presque termine
should i go ?	devrais je partir ?
you're supposed to be resting	tu es cense te reposer
tom could help you	tom pourrait t'aider
she likes sleeping	elle aime dormir
give me a kiss	donne moi un bisou !
you're so mean	vous etes si mechants
i like taking walks	j'aime faire des promenades
i already called him	je l'ai deja appele
i was very tired	j'etais fourbu
i love being a teacher	j'adore etre enseignant
you're cheating	vous trichez
i'd like a little privacy	j'apprecierais un peu d'intimite
i had fun	je me suis marre
you're the master	tu es le maitre
all my friends like tom	tous mes amis aiment tom
come over	venez chez nous !
he went skiing	il est alle skier
i was like you once	j'etais comme vous autrefois
i can speak chinese	je peux parler chinois
he's too drunk	il est trop ivre
they gave up	elles ont abandonne
it was a nice party	ce fut une chouette fete
thanks for your explanation	merci pour votre explication
don't be upset	ne soyez pas fachees !
let me help you	laissez moi vous aider
he was experienced in business	il etait rompu aux affaires
tom is packing	tom fait ses valises
what a drag !	quel boulet !
you're incredibly talented	vous etes incroyablement talentueux
i'd like to do that	j'aimerais faire ca
stay out of my room	reste hors de ma chambre
you are not a student	tu n'es pas un etudiant
wow !	ca alors !
you lied to me	tu m'as menti
hope is not a strategy	l'espoir n'est pas une strategie
it came apart	c'est casse
this is our only hope	c'est notre unique espoir
i'm uninsured	je ne suis pas assure
you work too hard	tu travailles trop dur
the milk went sour	le lait avait tourne
i love trying new things	j'adore essayer de nouveaux trucs
they opened the door	ils ouvrirent la porte
have you decided ?	vous etes vous decide ?
i should go to bed	je devrais aller au lit
you are a good customer	vous etes un bon client
they have plenty of water	ils disposent de plein d'eau
bottoms up !	sante !
you're very clever	tu es fort habile
i've made up my mind	je me suis decide
this tastes good	ca a bon gout
i find swimming fun	je trouve amusant de nager
wood burns easily	le bois brule facilement
i've lost	j'ai perdu
he looks confused	il a l'air perplexe
that made me very sad	cela me rendit tres triste
tom trusts him	tom lui fait confiance
this is for your protection	c'est pour votre protection
i was distracted	j'ai ete distraite
he is late	il est en retard
i'm on holiday	je suis en vacances
he's a salesman too	il est aussi un vendeur
i suppose that's ok	je suppose que c'est d'accord
do you drink coffee ?	buvez vous du cafe ?
please make yourself at home	fais comme chez toi
i continued singing	j'ai continue a chanter
they've changed the rules	elles ont change les regles
light the candles	allumez les cierges !
tom has a difficult job	tom a un job complique
look at the setting sun	regarde le soleil couchant
is it to go ?	a emporter ?
it was a great trip	ce fut un merveilleux voyage
he's loaded	il est plein aux as
it was a weird feeling	c'etait une sensation bizarre
what's the commotion ?	quel est ce tumulte ?
come here	viens ici
i have no friends	je n'ai pas d'amies
you never arrive on time	tu n'arrives jamais a temps
i got soaking wet	je me suis fait tremper
i'd like to help you	j'aimerais vous aider
i've got something to do	j'ai une chose a faire
i played tennis	je jouais au tennis
she's hot	elle est tres attirante
you have no evidence	tu n'as pas de preuve
i did all the work	j'ai fait tout le travail
he just arrived	il vient d'arriver
i'm getting married next sunday	je me marie dimanche prochain
they arrived at the hotel	ils arriverent a l'hotel
be nice to her	sois gentil avec elle
i'm only telling the truth	je dis seulement la verite
they haven't changed their mind	ils n'ont pas change d'avis
that's really a great idea	c'est vraiment une bonne idee
you need to be prepared	il vous faut etre preparees
she's never fallen in love	elle n'est jamais tombee amoureuse
look at the blackboard	regardez le tableau
i thought he might come	j'ai pense qu'il pourrait venir
my bag was stolen	on m'a pique mon sac
the stakes were high	les enjeux etaient eleves
we know all about you	nous savons tout sur vous
i need medical assistance	j'ai besoin d'une assistance medicale
nobody was home	personne n'etait chez moi
thank you for your help	merci pour votre aide
she must be well off	elle doit etre fortunee
both of them seem suspicious	elles semblent toutes deux suspicieuses
it never snows here	il ne neige jamais ici
i am rather happy	je suis assez content
is he correct ?	a t il raison ?
that is completely useless	c'est completement inutile
i knew it	je le savais
she is his real mother	elle est sa veritable mere
i'm not a teacher	je ne suis pas institutrice
i washed my t shirt	j'ai lave mon t shirt
my mom is overprotective	ma mere me surprotege
be careful with my luggage	fais attention avec mes bagages
we have plenty of time	nous avons largement le temps
i admit i was surprised	j'admets avoir ete surpris
you are the chosen one	tu es l'elu
the book costs dollars	le livre coute dollars
how's your wife ?	comment va ta femme ?
i want to be heard	je veux etre entendue
